Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
Delta,LAX,CMN,21h 45m,2 stops,business,09:05,14:50+1,"AED 14,100 ",2024-06-22 
Qatar Airways,CMN,NRT,33h 30m,2 stops,economy,14:10,07:40+2,"AED 4,140",2024-06-30
WestJet,NRT,LAX,14h 46m,1 stop,economy,18:30,17:16,"AED 3,230",2024-07-08
Air Serbia,IST,PAR,6h 30m,1 stop,business,14:10,19:40,"AED 2,081",2024-07-05
Qatar Airways,NRT,CMN,29h 10m,2 stops,economy,10:20,07:30+1,"AED 5,090",2024-07-06
Ajet,IST,PAR,3h 30m,direct,economy,13:55,16:25,AED 751,2024-07-01
Korean Air,NRT,IST,22h 25m,2 stops,business,20:55,13:20+1,"AED 9,425",2024-06-26
Aegean Airlines,PAR,IST,6h 10m,1 stop,business,22:15,05:25+1,"AED 3,460",2024-06-29
Air Canada,NRT,LAX,15h 35m,1 stop,economy,16:40,16:15,"AED 4,290",2024-07-05
KLM,IST,NRT,18h 45m,1 stop,business,08:50,09:35+1,"AED 12,500 ",2024-06-06 
Royal Air Maroc,CMN,NRT,34h 25m,2 stops,economy,18:35,13:00+2,"AED 4,025 ",2024-06-05 
Turkish Airlines,NRT,PAR,18h 55m,1 stop,business,10:35,22:30,"AED 11,880",2024-07-03
Delta,LAX,CMN,23h 42m,2 stops,business,13:28,21:10+1,"AED 14,099 ",2024-05-30 
Delta,LAX,PAR,10h 55m,direct,business,15:20,11:15+1,"AED 36,477 ",2024-06-14 
ANA,LAX,NRT,11h 15m,direct,business,11:25,14:40+1,"AED 16,350 ",2024-06-03 
Turkish Airlines,CMN,NRT,32h 10m,1 stop,business,16:45,08:55+2,"AED 9,510",2024-06-30
Delta,PAR,LAX,15h 39m,1 stop,business,16:10,22:49,"AED 20,246",2024-07-05
Air Arabia Maroc,CMN,IST,4h 40m,direct,economy,18:00,00:40+1,AED 642,2024-06-14
Air Algerie,IST,PAR,8h 30m,1 stop,business,05:00,12:30,"AED 2,045 ",2024-06-25 
SAUDIA,CMN,IST,17h 40m,1 stop,economy,14:50,10:30+1,"AED 1,487",2024-07-02
Transavia France,PAR,IST,3h 45m,direct,economy,10:40,15:25,AED 674,2024-06-16
Royal Air Maroc,CMN,IST,9h 15m,1 stop,economy,07:55,19:10,"AED 1,358 ",2024-06-20 
Air France,PAR,CMN,3h 10m,direct,economy,18:50,21:00,"AED 1,558",2024-07-08
Royal Air Maroc,CMN,NRT,34h 25m,2 stops,economy,18:35,13:00+2,"AED 3,565 ",2024-06-04 
Royal Air Maroc,PAR,CMN,3h 10m,direct,economy,13:05,15:15,"AED 1,309 ",2024-06-15 
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,02:50,06:45,AED 561,2024-06-26
Korean Air,NRT,IST,16h 20m,1 stop,business,09:20,19:40,"AED 7,970 ",2024-06-17 
Turkish Airlines,CMN,LAX,32h 45m,1 stop,business,16:45,17:30+1,"AED 8,320 ",2024-06-25 
Etihad Airways,PAR,NRT,19h 40m,1 stop,business,10:20,13:00+1,"AED 9,528 ",2024-06-10 
Multiple Airlines,PAR,LAX,24h 45m,2 stops,economy,06:00,21:45,"AED 1,793 ",2024-06-03 
Egypt Air,CMN,IST,14h 25m,1 stop,business,01:10,17:35,"AED 3,163 ",2024-06-17 
Qatar Airways,IST,NRT,23h 10m,1 stop,economy,13:45,18:55+1,"AED 3,510",2024-06-27
Condor,LAX,PAR,17h 25m,1 stop,economy,19:00,21:25+1,"AED 3,230",2024-06-28
Air France,CMN,PAR,3h 00m,direct,business,15:55,19:55,"AED 3,610 ",2024-06-07 
JetBlue,PAR,LAX,18h 34m,1 stop,economy,13:25,22:59,"AED 2,734",2024-07-02
SWISS,PAR,NRT,16h 05m,1 stop,economy,09:45,08:50+1,"AED 5,254 ",2024-06-02 
Norse Atlantic Airways,LAX,PAR,10h 50m,direct,economy,21:10,17:00+1,"AED 1,306 ",2024-06-20 
American Airlines,LAX,CMN,14h 55m,1 stop,economy,09:55,08:50+1,"AED 5,190 ",2024-06-09 
Delta,PAR,LAX,11h 20m,direct,business,19:25,21:45,"AED 20,249",2024-07-04
Qatar Airways,CMN,IST,13h 45m,1 stop,economy,14:10,05:55+1,"AED 2,250",2024-07-05
JetBlue,LAX,PAR,16h 50m,1 stop,economy,09:35,11:25+1,"AED 4,010 ",2024-06-21 
Turkish Airlines,PAR,IST,3h 30m,direct,economy,19:50,00:20+1,"AED 1,938",2024-07-06
Emirates,CMN,NRT,18h 50m,1 stop,economy,14:45,17:35+1,"AED 5,263",2024-07-04
Air France,CMN,NRT,24h 25m,2 stops,business,07:30,15:55+1,"AED 10,481 ",2024-05-30 
Turkish Airlines,PAR,IST,3h 40m,direct,economy,16:05,20:45,AED 808,2024-06-13
Etihad Airways,NRT,PAR,21h 15m,1 stop,economy,17:30,07:45+1,"AED 2,825 ",2024-06-21 
Qatar Airways,IST,LAX,21h 20m,1 stop,economy,20:05,07:25+1,"AED 2,630 ",2024-06-24 
Asiana Airlines,LAX,NRT,27h 15m,1 stop,economy,23:00,18:15+2,"AED 3,230",2024-06-26
Asiana Airlines,NRT,IST,26h 20m,1 stop,business,19:50,16:10+1,"AED 6,170",2024-07-07
Qatar Airways,NRT,CMN,28h 50m,2 stops,business,10:40,07:30+1,"AED 16,310 ",2024-06-13 
Qatar Airways,CMN,NRT,32h 35m,2 stops,business,14:10,06:45+2,"AED 12,440",2024-06-29
Air China,NRT,PAR,23h 10m,1 stop,business,15:15,07:25+1,"AED 11,580 ",2024-06-06 
Multiple Airlines,LAX,IST,24h 20m,2 stops,business,11:00,21:20+1,"AED 17,421 ",2024-06-23 
Cathay Pacific,NRT,LAX,22h 50m,2 stops,economy,15:45,22:35,"AED 2,530 ",2024-06-02 
Air France,CMN,PAR,3h 00m,direct,business,18:20,22:20,"AED 3,400",2024-06-26
Singapore Airlines,LAX,NRT,11h 30m,direct,economy,14:20,17:50+1,"AED 3,361",2024-07-03
Delta,LAX,PAR,10h 40m,direct,business,13:40,09:20+1,"AED 22,154",2024-07-02
Delta,LAX,CMN,19h 35m,2 stops,economy,11:15,14:50+1,"AED 5,271",2024-05-31
British Airways,IST,PAR,6h 20m,1 stop,economy,17:35,22:55,AED 870,2024-06-24
China Eastern,PAR,NRT,16h 35m,1 stop,economy,21:20,20:55+1,"AED 3,271 ",2024-06-15 
Delta,LAX,CMN,17h 25m,2 stops,business,13:25,14:50+1,"AED 14,099 ",2024-06-11 
Lufthansa,PAR,CMN,6h 55m,1 stop,business,18:30,00:25+1,"AED 3,570",2024-06-29
United Airlines,LAX,NRT,14h 50m,1 stop,economy,08:00,14:50+1,"AED 4,910 ",2024-06-04 
Egypt Air,CMN,IST,9h 50m,1 stop,business,00:45,12:35,"AED 5,905 ",2024-06-02 
Delta,LAX,CMN,15h 30m,1 stop,economy,15:20,14:50+1,"AED 5,254 ",2024-06-01 
Etihad Airways,NRT,CMN,22h 10m,1 stop,economy,17:30,07:40+1,"AED 3,975 ",2024-06-11 
Turkish Airlines,LAX,IST,13h 20m,direct,economy,19:25,18:45+1,"AED 5,540",2024-06-30
LEVEL,PAR,LAX,17h 15m,1 stop,economy,09:55,18:10,"AED 2,919",2024-06-26
Condor,LAX,CMN,21h 25m,1 stop,business,19:00,00:25+2,"AED 16,584",2024-07-02
Royal Air Maroc,CMN,PAR,2h 55m,direct,business,08:00,11:55,"AED 2,564",2024-07-02
Emirates,NRT,IST,24h 55m,1 stop,economy,22:30,17:25+1,"AED 2,301 ",2024-06-25 
LOT,IST,PAR,6h 10m,1 stop,business,17:35,22:45,"AED 2,280 ",2024-06-12 
Multiple Airlines,LAX,IST,20h 00m,2 stops,economy,11:00,17:00+1,"AED 3,227 ",2024-06-03 
Jetstar Japan,NRT,LAX,17h 45m,2 stops,business,14:30,16:15,"AED 8,800 ",2024-06-19 
Lufthansa,CMN,LAX,27h 11m,2 stops,business,01:15,20:26,"AED 9,170 ",2024-05-30 
Air Arabia Maroc,CMN,IST,8h 15m,1 stop,economy,07:00,17:15,AED 752,2024-06-13
ANA,NRT,LAX,10h 25m,direct,business,17:00,11:25,"AED 13,070",2024-07-02
Multiple Airlines,IST,LAX,24h 29m,2 stops,economy,06:10,20:39,"AED 3,748 ",2024-06-18 
Air France,CMN,LAX,26h 45m,1 stop,business,18:20,13:05+1,"AED 11,200 ",2024-06-03 
Aer Lingus,PAR,LAX,17h 20m,1 stop,business,10:10,18:30,"AED 16,564",2024-06-28
Lufthansa,IST,LAX,20h 45m,1 stop,economy,06:10,16:55,"AED 3,907 ",2024-06-18 
Tunisair,IST,CMN,14h 20m,1 stop,business,12:50,01:10+1,"AED 2,950",2024-07-07
Qatar Airways,NRT,CMN,28h 50m,2 stops,economy,10:40,07:30+1,"AED 6,520 ",2024-06-01 
Condor,LAX,IST,16h 20m,1 stop,economy,19:00,21:20+1,"AED 3,506 ",2024-06-10 
Lufthansa,LAX,IST,16h 05m,1 stop,business,14:55,17:00+1,"AED 21,714",2024-07-04
Turkish Airlines,IST,CMN,4h 50m,direct,business,18:10,21:00,"AED 6,477 ",2024-05-29 
Condor,LAX,PAR,13h 45m,1 stop,economy,19:00,17:45+1,"AED 2,313 ",2024-06-23 
Multiple Airlines,IST,LAX,24h 09m,2 stops,business,06:10,20:19,"AED 14,272 ",2024-06-16 
Air Arabia Maroc,CMN,IST,9h 10m,1 stop,economy,07:00,18:10,AED 708,2024-06-13
Transavia France,IST,LAX,22h 20m,1 stop,economy,06:45,19:05,"AED 1,949 ",2024-06-08 
Egypt Air,NRT,IST,22h 30m,1 stop,business,20:30,13:00+1,"AED 8,751 ",2024-06-09 
Sichuan Airlines,NRT,IST,19h 50m,1 stop,business,16:40,06:30+1,"AED 4,699 ",2024-06-15 
Multiple Airlines,PAR,LAX,17h 59m,2 stops,business,09:45,18:44,"AED 14,352",2024-07-06
Multiple Airlines,NRT,CMN,22h 45m,2 stops,business,23:05,13:50+1,"AED 14,645 ",2024-06-04 
Qatar Airways,PAR,NRT,23h 05m,2 stops,economy,12:50,18:55+1,"AED 5,330",2024-07-01
Air France,CMN,PAR,3h 00m,direct,economy,18:20,22:20,"AED 1,826 ",2024-05-29 
Turkish Airlines,CMN,LAX,26h 55m,1 stop,business,16:45,11:40+1,"AED 8,320 ",2024-06-25 
Transavia France,IST,PAR,3h 50m,direct,economy,15:35,18:25,AED 455,2024-06-25
Lufthansa,PAR,IST,5h 25m,1 stop,business,10:35,17:00,"AED 3,430",2024-07-06
Air Serbia,PAR,IST,12h 40m,1 stop,business,13:45,03:25+1,"AED 2,894",2024-07-07
LOT,IST,PAR,6h 10m,1 stop,business,17:35,22:45,"AED 2,254 ",2024-06-07 
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,19:50,21:55,"AED 1,280",2024-06-30
Turkish Airlines,CMN,IST,4h 40m,direct,economy,16:45,23:25,"AED 1,542 ",2024-06-10 
Delta,LAX,PAR,10h 50m,direct,business,18:30,14:20+1,"AED 26,468 ",2024-06-08 
Delta,LAX,CMN,20h 45m,2 stops,business,10:05,14:50+1,"AED 15,608 ",2024-06-09 
JetBlue,LAX,PAR,15h 40m,1 stop,economy,06:15,06:55+1,"AED 4,340 ",2024-06-07 
LOT,IST,PAR,6h 10m,1 stop,business,17:35,22:45,"AED 2,249",2024-06-28
Etihad Airways,NRT,PAR,29h 45m,2 stops,business,09:00,07:45+1,"AED 10,245 ",2024-06-19 
Royal Air Maroc,PAR,CMN,3h 10m,direct,business,13:05,15:15,"AED 2,699",2024-06-26
Royal Air Maroc,CMN,NRT,34h 25m,2 stops,business,18:35,13:00+2,"AED 9,785 ",2024-06-17 
Qatar Airways,NRT,CMN,30h 15m,2 stops,economy,09:15,07:30+1,"AED 4,490 ",2024-06-06 
Air France,PAR,LAX,11h 20m,direct,business,19:25,21:45,"AED 20,340 ",2024-06-25 
Delta,LAX,IST,18h 45m,2 stops,business,11:45,16:30+1,"AED 26,035 ",2024-06-14 
Hawaiian Airlines,LAX,NRT,28h 35m,1 stop,economy,19:40,16:15+2,"AED 3,285 ",2024-06-07 
Air France,PAR,NRT,13h 50m,direct,business,12:20,09:10+1,"AED 13,640 ",2024-06-18 
Qatar Airways,PAR,NRT,23h 15m,2 stops,economy,12:40,18:55+1,"AED 4,480 ",2024-06-16 
United Airlines,NRT,LAX,10h 15m,direct,economy,16:55,11:10,"AED 2,010 ",2024-06-13 
United Airlines,LAX,NRT,15h 40m,1 stop,economy,08:35,16:15+1,"AED 5,100",2024-06-29
Delta,LAX,PAR,12h 56m,1 stop,business,11:34,09:30+1,"AED 23,272",2024-06-29
Korean Air,NRT,PAR,31h 40m,1 stop,business,17:20,18:00+1,"AED 7,970",2024-07-01
Cathay Pacific,NRT,PAR,20h 05m,1 stop,economy,18:30,07:35+1,"AED 2,910 ",2024-06-20 
Air Canada,CMN,LAX,22h 00m,2 stops,business,08:50,22:50,"AED 8,140",2024-07-08
Delta,LAX,PAR,13h 45m,1 stop,business,16:45,15:30+1,"AED 26,576 ",2024-06-05 
Egypt Air,CMN,IST,15h 25m,1 stop,business,13:30,06:55+1,"AED 7,720",2024-05-31
Egypt Air,IST,CMN,11h 00m,1 stop,economy,04:30,13:30,"AED 2,196",2024-07-07
Austrian Airlines,LAX,PAR,16h 55m,1 stop,economy,15:05,17:00+1,"AED 2,764 ",2024-06-05 
JAL,NRT,LAX,9h 50m,direct,business,17:20,11:10,"AED 13,936 ",2024-06-07 
Delta,LAX,IST,18h 45m,2 stops,business,11:45,16:30+1,"AED 26,034 ",2024-06-08 
Air France,PAR,CMN,3h 05m,direct,business,07:10,09:15,"AED 3,653 ",2024-06-01 
Korean Air,NRT,IST,16h 20m,1 stop,economy,09:20,19:40,"AED 3,160 ",2024-06-19 
Qatar Airways,CMN,NRT,38h 05m,1 stop,economy,20:50,18:55+2,"AED 3,710",2024-06-30
Asiana Airlines,IST,NRT,21h 20m,1 stop,economy,17:40,21:00+1,"AED 3,620",2024-06-29
Multiple Airlines,PAR,LAX,22h 16m,2 stops,business,06:05,19:21,"AED 7,211 ",2024-06-04 
TAP Portugal,PAR,LAX,22h 24m,2 stops,business,11:55,01:19+1,"AED 11,970",2024-07-03
Egypt Air,IST,CMN,15h 00m,1 stop,business,00:30,13:30,"AED 5,329 ",2024-06-25 
JetBlue,LAX,PAR,13h 50m,1 stop,business,10:25,09:15+1,"AED 10,602",2024-07-08
Turkish Airlines,PAR,IST,3h 40m,direct,business,16:05,20:45,"AED 3,210 ",2024-06-17 
Qatar Airways,IST,NRT,16h 50m,1 stop,business,20:05,18:55+1,"AED 13,710",2024-06-26
WestJet,NRT,LAX,19h 15m,1 stop,business,18:30,21:45,"AED 7,430 ",2024-06-07 
Lufthansa,IST,LAX,19h 05m,2 stops,business,06:10,15:15,"AED 8,080 ",2024-06-02 
China Eastern,PAR,NRT,16h 25m,1 stop,economy,13:25,12:50+1,"AED 2,536 ",2024-06-08 
Royal Air Maroc,CMN,LAX,16h 16m,1 stop,business,15:55,00:11+1,"AED 15,028",2024-06-29
ZIPAIR,NRT,LAX,9h 50m,direct,economy,14:40,08:30,"AED 1,115 ",2024-06-19 
Cathay Pacific,PAR,NRT,25h 30m,1 stop,economy,12:05,20:35+1,"AED 3,080 ",2024-06-08 
Qatar Airways,CMN,IST,12h 55m,1 stop,business,20:50,11:45+1,"AED 8,100 ",2024-06-11 
British Airways,IST,PAR,6h 35m,1 stop,business,17:30,23:05,"AED 1,780",2024-07-03
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,14:15,18:05,AED 644,2024-06-22
Royal Air Maroc,PAR,CMN,3h 00m,direct,economy,17:35,19:35,"AED 1,194 ",2024-06-15 
Qatar Airways,IST,LAX,28h 00m,1 stop,economy,20:05,14:05+1,"AED 2,440 ",2024-06-04 
Air France,CMN,PAR,3h 05m,direct,economy,10:20,14:25,"AED 1,163 ",2024-06-02 
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,08:10,12:00,AED 565,2024-06-13
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,09:15,11:20,"AED 1,126 ",2024-05-29 
Qatar Airways,PAR,NRT,25h 45m,2 stops,business,10:10,18:55+1,"AED 13,030 ",2024-06-06 
Air Serbia,IST,PAR,18h 35m,1 stop,business,15:40,09:15+1,"AED 1,403 ",2024-06-16 
Emirates,NRT,IST,20h 35m,1 stop,business,22:30,13:05+1,"AED 10,557 ",2024-06-25 
Delta,LAX,IST,16h 50m,1 stop,economy,13:40,16:30+1,"AED 6,720",2024-06-29
Multiple Airlines,LAX,CMN,28h 55m,2 stops,business,11:30,00:25+2,"AED 8,930",2024-07-02
Transavia France,CMN,IST,10h 35m,1 stop,economy,11:30,00:05+1,"AED 1,316",2024-06-26
Qatar Airways,PAR,NRT,19h 30m,1 stop,economy,16:25,18:55+1,"AED 4,560",2024-06-29
Aegean Airlines,PAR,IST,7h 00m,1 stop,business,18:10,02:10+1,"AED 3,210",2024-06-29
JetBlue,PAR,LAX,22h 30m,1 stop,economy,11:15,00:45+1,"AED 2,652 ",2024-05-30 
TAP Portugal,CMN,PAR,7h 50m,1 stop,business,11:25,20:15,"AED 1,170",2024-07-06
Lufthansa,LAX,IST,16h 05m,1 stop,economy,14:55,17:00+1,"AED 4,084 ",2024-05-29 
Air Canada,CMN,LAX,28h 25m,2 stops,business,01:15,21:40,"AED 8,240 ",2024-06-23 
Air Arabia Maroc,IST,CMN,5h 00m,direct,economy,01:30,04:30,AED 677,2024-06-01
Multiple Airlines,IST,LAX,21h 29m,2 stops,economy,06:10,17:39,"AED 4,346",2024-06-27
Qatar Airways,NRT,IST,19h 40m,1 stop,business,22:30,12:10+1,"AED 11,060 ",2024-05-30 
KLM,NRT,CMN,35h 30m,2 stops,business,11:20,14:50+1,"AED 15,356",2024-06-30
Asiana Airlines,IST,NRT,21h 20m,1 stop,economy,17:40,21:00+1,"AED 4,140 ",2024-06-08 
Egypt Air,IST,CMN,18h 55m,1 stop,business,06:50,23:45,"AED 4,977 ",2024-06-21 
Air China,NRT,CMN,26h 00m,2 stops,business,15:15,09:15+1,"AED 16,058 ",2024-06-02 
Cathay Pacific,NRT,CMN,30h 35m,3 stops,business,15:45,14:20+1,"AED 18,921 ",2024-06-02 
Asiana Airlines,LAX,NRT,20h 20m,1 stop,business,23:00,11:20+2,"AED 12,400 ",2024-06-02 
LOT,IST,LAX,17h 30m,1 stop,economy,07:05,14:35,"AED 2,330 ",2024-06-12 
Air Serbia,PAR,IST,6h 10m,1 stop,business,20:25,03:35+1,"AED 1,321 ",2024-06-13 
JetBlue,PAR,LAX,18h 11m,1 stop,economy,08:55,18:06,"AED 3,451 ",2024-06-24 
Turkish Airlines,IST,PAR,3h 40m,direct,economy,10:00,12:40,AED 970,2024-06-22
Asiana Airlines,LAX,NRT,16h 50m,1 stop,economy,12:10,21:00+1,"AED 3,230 ",2024-06-24 
ANA,NRT,LAX,10h 00m,direct,business,17:00,11:00,"AED 21,180",2024-05-31
Air Algerie,PAR,IST,11h 15m,1 stop,business,15:30,03:45+1,"AED 2,607 ",2024-06-21 
Air Canada,CMN,LAX,20h 51m,1 stop,business,08:50,21:41,"AED 8,110 ",2024-06-12 
LOT,IST,PAR,5h 55m,1 stop,economy,13:55,18:50,AED 658,2024-07-04
Thai Airways,PAR,NRT,19h 05m,1 stop,business,13:40,15:45+1,"AED 9,350 ",2024-06-04 
Air France,CMN,PAR,3h 05m,direct,economy,07:30,11:35,"AED 1,022 ",2024-06-10 
ITA Airways,PAR,CMN,6h 50m,1 stop,business,14:10,20:00,"AED 2,736 ",2024-05-30 
United Airlines,NRT,LAX,17h 05m,1 stop,economy,17:05,18:10,"AED 2,200 ",2024-06-04 
Hawaiian Airlines,LAX,NRT,35h 50m,2 stops,economy,11:15,15:05+2,"AED 3,057 ",2024-06-07 
Pegasus Airlines,CMN,IST,4h 45m,direct,economy,00:05,06:50,AED 867,2024-07-08
Delta,LAX,CMN,16h 00m,1 stop,business,21:00,21:00+1,"AED 15,593",2024-07-03
Korean Air,NRT,CMN,47h 55m,2 stops,business,17:20,09:15+2,"AED 10,650 ",2024-06-12 
Transavia France,IST,LAX,21h 10m,1 stop,economy,06:20,17:30,"AED 1,583 ",2024-06-22 
Royal Air Maroc,IST,CMN,5h 00m,direct,economy,18:10,21:10,"AED 1,479 ",2024-06-17 
Delta,LAX,IST,18h 31m,2 stops,business,11:34,16:05+1,"AED 26,042 ",2024-06-12 
Korean Air,NRT,PAR,35h 30m,1 stop,business,14:00,18:30+1,"AED 7,970 ",2024-06-06 
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,21:40,23:45,"AED 2,819 ",2024-06-22 
Egypt Air,IST,CMN,19h 55m,1 stop,business,18:35,12:30+1,"AED 4,189 ",2024-05-29 
Air Algerie,IST,PAR,14h 40m,1 stop,business,05:00,18:40,"AED 2,059 ",2024-06-20 
Air Canada,CMN,LAX,19h 26m,2 stops,business,08:50,20:16,"AED 8,150 ",2024-06-19 
Iberia,CMN,PAR,10h 00m,1 stop,business,12:45,23:45,"AED 1,442 ",2024-06-11 
Lufthansa,PAR,LAX,16h 05m,1 stop,economy,09:45,16:50,"AED 1,992 ",2024-06-05 
Etihad Airways,NRT,IST,23h 30m,2 stops,business,19:50,13:20+1,"AED 9,415",2024-07-03
EVA Air,NRT,LAX,17h 55m,1 stop,economy,14:25,16:20,"AED 2,810",2024-05-31
Air France,CMN,PAR,3h 00m,direct,business,18:20,22:20,"AED 3,400 ",2024-06-18 
Condor,LAX,PAR,14h 35m,1 stop,economy,19:00,18:35+1,"AED 2,313 ",2024-06-23 
Etihad Airways,NRT,PAR,21h 15m,1 stop,economy,17:30,07:45+1,"AED 2,825",2024-06-30
Egypt Air,NRT,CMN,24h 00m,1 stop,economy,20:30,12:30+1,"AED 3,588 ",2024-06-16 
LOT,NRT,PAR,18h 15m,1 stop,economy,22:35,09:50+1,"AED 3,150",2024-07-06
Air Canada,CMN,LAX,21h 10m,2 stops,business,08:50,22:00,"AED 9,070 ",2024-06-01 
Iberia,CMN,PAR,6h 55m,1 stop,economy,15:50,23:45,AED 858,2024-06-05
Delta,LAX,PAR,19h 10m,2 stops,business,12:05,16:15+1,"AED 12,810 ",2024-06-23 
Etihad Airways,NRT,PAR,21h 15m,1 stop,business,17:30,07:45+1,"AED 9,035 ",2024-06-10 
Garuda Indonesia,NRT,IST,29h 30m,1 stop,business,17:50,17:20+1,"AED 7,936 ",2024-06-18 
LOT,IST,PAR,5h 55m,1 stop,economy,13:55,18:50,"AED 1,020 ",2024-06-10 
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,02:50,06:45,AED 525,2024-07-01
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,08:10,12:00,AED 562,2024-07-01
JetBlue,LAX,PAR,18h 15m,1 stop,business,06:00,09:15+1,"AED 14,715 ",2024-06-16 
Turkish Airlines,IST,CMN,4h 55m,direct,economy,11:55,14:50,"AED 1,722",2024-07-03
Etihad Airways,NRT,PAR,29h 45m,2 stops,business,09:00,07:45+1,"AED 10,705 ",2024-06-08 
SAUDIA,LAX,IST,27h 30m,1 stop,economy,21:00,10:30+2,"AED 2,680",2024-07-01
Condor,LAX,CMN,21h 25m,1 stop,business,19:00,00:25+2,"AED 8,811",2024-07-05
Royal Air Maroc,CMN,NRT,34h 25m,2 stops,economy,18:35,13:00+2,"AED 3,575 ",2024-06-11 
Royal Air Maroc,CMN,LAX,22h 41m,2 stops,economy,03:10,17:51,"AED 3,840",2024-07-04
Emirates,CMN,NRT,18h 50m,1 stop,economy,14:45,17:35+1,"AED 3,900 ",2024-06-04 
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,17:30,19:35,"AED 1,299 ",2024-06-18 
SWISS,NRT,PAR,19h 10m,1 stop,business,10:45,22:55,"AED 16,365 ",2024-06-22 
Delta,LAX,CMN,19h 05m,2 stops,economy,11:45,14:50+1,"AED 5,157 ",2024-06-10 
Turkish Airlines,LAX,IST,13h 10m,direct,economy,13:35,12:45+1,"AED 5,392 ",2024-05-30 
Air France,CMN,PAR,3h 00m,direct,economy,18:20,22:20,AED 894,2024-06-24
Qatar Airways,IST,LAX,21h 20m,1 stop,economy,20:05,07:25+1,"AED 2,840 ",2024-06-19 
Tunisair,CMN,IST,7h 25m,1 stop,business,02:00,11:25,"AED 2,502 ",2024-06-21 
Air France,CMN,IST,20h 10m,1 stop,business,18:20,16:30+1,"AED 5,050",2024-07-05
Delta,PAR,LAX,11h 40m,direct,business,08:45,11:25,"AED 20,249 ",2024-06-20 
Qatar Airways,NRT,IST,24h 30m,2 stops,business,17:15,11:45+1,"AED 12,670 ",2024-06-04 
Air France,CMN,NRT,21h 10m,2 stops,business,07:30,12:40+1,"AED 9,800",2024-07-08
Hawaiian Airlines,LAX,NRT,25h 30m,1 stop,economy,19:40,13:10+2,"AED 2,910 ",2024-06-19 
Vueling,LAX,PAR,16h 15m,1 stop,economy,19:55,21:10+1,"AED 1,427",2024-07-05
Asiana Airlines,LAX,NRT,16h 50m,1 stop,economy,12:10,21:00+1,"AED 3,420",2024-06-29
Egypt Air,CMN,IST,8h 35m,1 stop,business,13:30,00:05+1,"AED 6,893 ",2024-06-18 
Delta,LAX,PAR,11h 15m,direct,economy,16:50,13:05+1,"AED 5,389 ",2024-06-25 
LEVEL,PAR,LAX,20h 30m,1 stop,economy,06:40,18:10,"AED 2,005 ",2024-06-07 
Qatar Airways,IST,NRT,16h 50m,1 stop,business,20:05,18:55+1,"AED 15,200 ",2024-06-05 
Etihad Airways,NRT,IST,23h 00m,2 stops,business,13:20,06:20+1,"AED 11,805",2024-06-30
Etihad Airways,NRT,CMN,26h 20m,2 stops,economy,13:20,07:40+1,"AED 4,285 ",2024-06-16 
LEVEL,PAR,LAX,16h 25m,1 stop,economy,10:45,18:10,"AED 3,765",2024-07-01
JAL,LAX,NRT,26h 15m,1 stop,business,14:25,08:40+2,"AED 11,550",2024-06-26
Asiana Airlines,LAX,NRT,20h 20m,1 stop,business,23:00,11:20+2,"AED 15,360 ",2024-06-20 
Emirates,PAR,NRT,23h 10m,1 stop,business,11:25,17:35+1,"AED 14,770",2024-06-30
SAUDIA,CMN,IST,11h 20m,1 stop,business,07:35,20:55,"AED 4,977",2024-07-01
Turkish Airlines,IST,PAR,3h 40m,direct,economy,15:30,18:10,"AED 1,090 ",2024-06-23 
Egypt Air,NRT,CMN,25h 00m,1 stop,business,20:30,13:30+1,"AED 10,434 ",2024-06-23 
Air Caraïbes,PAR,LAX,11h 40m,direct,economy,14:50,17:30,"AED 1,814",2024-07-04
Royal Air Maroc,CMN,PAR,2h 55m,direct,business,13:25,17:20,"AED 2,442 ",2024-06-09 
SWISS,LAX,PAR,14h 35m,1 stop,business,19:40,19:15+1,"AED 23,136",2024-06-28
SWISS,PAR,NRT,19h 05m,1 stop,business,06:45,08:50+1,"AED 14,739",2024-06-29
Multiple Airlines,LAX,IST,37h 54m,3 stops,economy,21:51,21:45+2,"AED 2,181 ",2024-06-07 
Royal Air Maroc,IST,CMN,4h 50m,direct,business,18:10,21:00,"AED 5,989",2024-07-05
British Airways,IST,PAR,7h 05m,1 stop,business,14:35,20:40,"AED 1,890",2024-07-08
Air France,LAX,PAR,10h 40m,direct,business,13:40,09:20+1,"AED 26,510 ",2024-06-17 
Turkish Airlines,PAR,IST,3h 40m,direct,business,14:10,18:50,"AED 2,616 ",2024-06-15 
Air France,IST,CMN,12h 35m,1 stop,economy,06:45,17:20,"AED 2,200 ",2024-06-05 
Thai Airways,NRT,IST,18h 10m,1 stop,economy,17:25,05:35+1,"AED 3,076 ",2024-06-22 
China Airlines,NRT,LAX,18h 50m,1 stop,business,17:55,20:45,"AED 10,410 ",2024-06-19 
