Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
TAP Portugal,CMN,PAR,7h 50m,1 stop,business,11:25,20:15,"AED 2,130 ",2024-06-10 
Air Algerie,PAR,IST,7h 50m,1 stop,business,15:30,00:20+1,"AED 3,619 ",2024-06-14 
Qatar Airways,IST,NRT,28h 40m,2 stops,business,20:05,06:45+2,"AED 15,360 ",2024-06-14 
Iberia,CMN,PAR,6h 20m,1 stop,economy,12:45,20:05,AED 600,2024-06-27
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,21:40,23:45,"AED 1,016 ",2024-06-24 
Delta,LAX,CMN,19h 05m,2 stops,business,11:45,14:50+1,"AED 15,609",2024-07-08
Etihad Airways,NRT,IST,17h 55m,1 stop,economy,17:30,05:25+1,"AED 3,225 ",2024-06-19 
KLM,PAR,IST,7h 30m,1 stop,economy,08:40,17:10,"AED 1,550",2024-07-08
Delta,LAX,CMN,18h 30m,1 stop,business,18:30,21:00+1,"AED 14,083",2024-07-07
Lufthansa,CMN,PAR,9h 45m,2 stops,business,01:15,12:00,"AED 4,740 ",2024-06-04 
Qatar Airways,CMN,LAX,31h 55m,1 stop,economy,14:10,14:05+1,"AED 3,010",2024-07-05
Ethiopian Air,NRT,IST,30h 15m,2 stops,economy,20:55,21:10+1,"AED 3,780",2024-05-31
Egypt Air,CMN,IST,9h 50m,1 stop,business,01:10,13:00,"AED 3,150 ",2024-06-16 
WestJet,NRT,LAX,19h 21m,1 stop,economy,18:30,21:51,"AED 3,323 ",2024-06-23 
China Eastern,PAR,NRT,19h 30m,1 stop,economy,13:25,15:55+1,"AED 2,223 ",2024-06-13 
Transavia France,CMN,IST,16h 20m,1 stop,economy,16:55,11:15+1,AED 971,2024-06-16
Nouvelair,CMN,IST,7h 30m,1 stop,economy,00:20,09:50,"AED 1,223",2024-06-28
Etihad Airways,IST,NRT,16h 15m,1 stop,business,14:45,13:00+1,"AED 12,055",2024-07-02
LOT,LAX,PAR,17h 15m,1 stop,business,16:35,18:50+1,"AED 12,323",2024-07-05
WestJet,LAX,NRT,30h 20m,1 stop,economy,18:05,16:25+2,"AED 4,950 ",2024-06-16 
Korean Air,NRT,PAR,39h 40m,1 stop,business,09:20,18:00+1,"AED 7,970 ",2024-06-07 
Air Serbia,IST,PAR,18h 35m,1 stop,business,15:40,09:15+1,"AED 1,010 ",2024-06-07 
Aegean Airlines,IST,PAR,7h 35m,1 stop,business,10:40,17:15,"AED 3,430 ",2024-06-08 
Delta,LAX,IST,16h 15m,1 stop,business,13:50,16:05+1,"AED 23,181",2024-07-07
British Airways,CMN,LAX,28h 37m,2 stops,economy,13:40,10:17+1,"AED 3,400",2024-06-28
British Airways,IST,LAX,18h 45m,1 stop,business,08:30,17:15,"AED 17,300",2024-07-06
United Airlines,LAX,NRT,17h 25m,2 stops,business,05:25,14:50+1,"AED 15,450 ",2024-06-22 
JetBlue,PAR,LAX,18h 37m,1 stop,economy,13:25,23:02,"AED 2,455 ",2024-06-24 
WestJet,LAX,NRT,17h 25m,1 stop,economy,07:00,16:25+1,"AED 5,080",2024-06-27
Turkish Airlines,PAR,IST,3h 40m,direct,economy,14:10,18:50,AED 953,2024-06-15
Qatar Airways,CMN,NRT,33h 30m,2 stops,economy,14:10,07:40+2,"AED 3,720 ",2024-06-06 
Qatar Airways,NRT,CMN,36h 00m,2 stops,economy,10:20,14:20+1,"AED 3,980 ",2024-06-04 
Turkish Airlines,IST,CMN,5h 00m,direct,business,18:10,21:10,"AED 6,476 ",2024-06-25 
