Airline,stops,class,depature time,arrival time,Price,Days Left,Day of Week,Duration_log,Source_CMN,Source_IST,Source_LAX,Source_NRT,Source_PAR,Destination_CMN,Destination_IST,Destination_LAX,Destination_NRT,Destination_PAR
98,0,0,0,0,8.508487405795274,34,0,6.672032945461067,False,False,True,False,False,False,True,False,False,False
61,1,1,5,2,6.576748081791982,37,3,7.45298232946546,False,False,False,True,False,False,True,False,False,False
34,1,0,0,0,8.722943147385283,5,6,6.835184586147301,False,False,True,False,False,True,False,False,False,False
98,0,1,4,0,5.4359030295006,8,2,5.393627546352362,False,True,False,False,False,False,False,False,False,True
12,0,0,0,0,6.85232713207252,8,2,5.3471075307174685,False,False,False,False,True,False,True,False,False,False
34,2,0,4,0,8.346205562319184,13,0,7.0431599159883405,False,False,True,False,False,True,False,False,False,False
36,1,0,2,0,7.107376332854153,36,2,7.085901464365611,False,True,False,False,False,True,False,False,False,False
29,1,1,5,5,6.494509983555011,7,1,6.907755278982137,False,False,False,True,False,False,False,True,False,False
8,2,1,4,4,7.221762776601467,21,1,6.877296071497429,False,False,True,False,False,True,False,False,False,False
26,1,0,4,0,6.884895984836055,38,4,6.173786103901937,False,True,False,False,False,False,False,False,False,True
77,2,1,5,4,6.925496960458294,11,5,7.383989457978509,True,False,False,False,False,False,False,False,True,False
34,2,1,4,5,7.456437224003495,39,5,7.113956109566034,True,False,False,False,False,False,False,True,False,False
99,1,1,1,0,6.553933404025811,8,2,6.917705609835305,False,True,False,False,False,False,False,True,False,False
64,1,0,5,0,8.350807973920636,4,5,7.114769448366463,False,False,False,True,False,False,True,False,False,False
65,1,0,2,5,6.202737925851705,35,1,5.886104031450156,False,True,False,False,False,False,False,False,False,True
94,1,1,0,0,6.552778891678987,35,1,6.942156705699469,False,True,False,False,False,False,False,False,True,False
34,2,0,1,2,8.538324347591695,37,3,7.118826249062078,False,True,False,False,False,False,False,True,False,False
12,0,1,0,0,5.920505458167488,17,4,5.247024072160486,False,False,False,False,True,True,False,False,False,False
64,1,0,5,4,7.921789591174949,28,1,6.9985096422506015,False,False,False,True,False,False,False,False,False,True
77,1,0,5,5,7.714677473800927,29,2,7.475905969367397,False,False,False,True,False,False,False,False,False,True
98,0,1,4,0,6.376828983509143,9,3,5.66988092298052,True,False,False,False,False,False,True,False,False,False
69,2,0,1,5,7.601252398306371,4,5,7.231287004327616,False,False,False,False,True,False,False,True,False,False
99,2,0,1,0,8.024109249126404,30,3,6.917705609835305,False,False,True,False,False,False,False,False,True,False
78,0,1,2,2,5.73905308873812,8,2,5.220355825078324,False,False,False,False,True,True,False,False,False,False
77,2,0,2,0,7.8919663073402715,8,2,7.4645098346365275,False,False,False,True,False,False,False,False,False,True
32,1,1,2,2,6.84430416640152,2,3,6.715383386334681,False,False,True,False,False,False,False,False,False,True
105,1,1,2,2,6.973655372758841,28,1,6.786716950605081,False,False,False,True,False,False,False,True,False,False
63,1,1,4,2,6.661752433521845,21,1,6.892641641172089,False,False,False,False,True,False,False,True,False,False
9,1,1,2,5,6.726916622148354,18,5,6.970730078143525,False,False,True,False,False,True,False,False,False,False
64,1,1,0,2,5.181390214518745,41,0,5.872117789475416,False,True,False,False,False,False,False,False,False,True
75,0,1,0,2,5.75371484340441,22,2,5.3230099791384085,False,False,False,False,True,False,True,False,False,False
21,1,0,2,0,7.306799819287379,31,4,7.380879035564116,False,False,False,True,False,False,True,False,False,False
59,2,0,2,0,7.587665232760062,26,6,7.265429723253953,False,True,False,False,False,True,False,False,False,False
98,0,0,0,5,7.036122108178166,27,0,5.634789603169249,True,False,False,False,False,False,True,False,False,False
19,1,0,4,0,8.392649856341636,19,6,6.835184586147301,False,False,True,False,False,False,False,False,True,False
32,1,1,2,2,6.8306906324791585,20,0,6.715383386334681,False,False,True,False,False,False,False,False,False,True
98,2,0,0,4,7.85391544445857,29,2,7.557472901614746,True,False,False,False,False,False,False,False,True,False
34,1,1,0,0,7.257411650261723,2,3,6.937314081223682,False,False,True,False,False,True,False,False,False,False
91,1,0,4,2,6.0870019738170456,3,4,5.966146739123692,True,False,False,False,False,False,False,False,False,True
29,1,0,5,5,8.25658139048712,11,5,6.907755278982137,False,False,False,True,False,False,False,True,False,False
36,1,0,0,1,7.580801787835079,7,1,6.829793737512425,True,False,False,False,False,False,True,False,False,False
28,1,1,2,4,6.666575040181776,23,3,7.154615356913663,False,False,False,True,False,False,False,False,False,True
